theta,q,u
5.895286418256139e-05,-0.00030623255189342466,6.583380277093202e-05
5.589053866362714e-05,0.004143569295818732,-0.0025979226548184936
9.732623162181446e-05,0.003951120659703833,-0.0025653248590659285
0.00013683743821885278,0.002077464236924547,-0.0015201534185924337
0.00015761208058809827,-0.00017931474324358026,-0.0002076353152300484
0.00015581893315566247,-0.0026157507110805157,0.0012578125603369844
0.00012966142604485732,-0.0014223405862413936,0.0005940814996551215
0.00011543802018244338,0.00020319491238697312,-0.00035279298779707064
0.00011746996930631311,-0.0014321415660532323,0.0006243450010193132
0.00010314855364578079,-0.0012130107189330442,0.0005215093240682649
9.101844645645034e-05,0.0005770211578209757,-0.0005282495876054861
9.67886580346601e-05,-0.0026635311548739143,0.0014045413768550283
7.015334648592095e-05,-0.004138412061240564,0.0023427405437724965
2.8769225873515308e-05,-0.004277570995602015,0.0025090041456141787
-1.400648408250485e-05,-0.004423672449612009,0.002682216437932215
-5.8243208578624944e-05,-0.0034807843643435477,0.0022049570357633784
-9.305105222206042e-05,-0.005556372360357251,0.0035199255206584718
-0.00014861477582563294,-0.005995130362780773,0.0038943077693197295
-0.00020856607945344066,-0.004913341179042507,0.0033651368663323855
-0.00025769949124386575,-0.0045423951464298356,0.003240836070345633
-0.0003031234427081641,-0.0019356033772199906,0.0017676089117483226
-0.00032247947648036404,0.0013457111525950124,-0.00016246773859627942
-0.0003090223649544139,0.00107662199556346,-2.7928467429248175e-05
-0.0002982561449987793,0.0018334682380086776,-0.0005035686528076479
-0.0002799214626186925,0.004292939730549154,-0.002015920913092107
-0.00023699206531320097,0.0047452528336975625,-0.0023731675695921354
-0.00018953953697622533,0.002790561689119231,-0.0012952579395190877
-0.000161633920085033,0.003971657345043222,-0.0020597265668558674
-0.00012191734663460079,0.0010987379878527278,-0.0004154080994424351
-0.0001109299667560735,0.0019219787695836325,-0.0009313273282380325
-9.171017906023718e-05,0.001969804834063655,-0.0009984625423177186
-7.201213071960063e-05,-0.0014091926245843249,0.0009895398361897962
-8.610405696544388e-05,-0.0009699278539600126,0.0007541648263068954
-9.580333550504401e-05,-0.0027207778784814883,0.001824073398098981
-0.0001230111142898589,-0.0031606531445937725,0.0021424141153359813
-0.00015461764573579663,-0.0009320315355547241,0.0008684542128044278
-0.00016393796109134387,-0.0018580529855346207,0.00144270771350346
-0.00018251849094669007,-0.004002205970747222,0.0027663605643417134
-0.0002225405506541623,-0.00015244937583030723,0.0005365507268065089
-0.00022406504441246537,0.0037765185287092847,-0.00181778102840064
